,Rk,Player,Squad,Pos,Age,Min,90s,DefensivePoint,AttackingPoint,Total,Rank
246,247,Vitaly Janelt,Brentford,"MF,DF",0.64,0.55,24.5,0.61,0.11,1.9100000000000001,76
86,87,Casemiro,Manchester Utd,MF,0.12,0.5,23.6,0.98,0.31,1.9100000000000001,77
399,400,Thomas Partey,Arsenal,MF,0.18,0.65,27.6,0.65,0.42,1.9,79
56,57,Rodrigo Bentancur,Tottenham,MF,0.52,0.26,16.7,0.89,0.24,1.91,78
71,72,Emi Buendía,Aston Villa,"MF,FW",0.52,0.62,26.8,0.06,0.68,1.88,80
369,370,Wilfred Ndidi,Leicester City,MF,0.52,0.34,18.7,0.99,0.02,1.87,81
479,480,Oliver Skipp,Tottenham,MF,0.91,0.24,16.6,0.57,0.14,1.8599999999999999,82
127,128,Kevin De Bruyne,Manchester City,MF,0.07,0.63,26.9,0.13,1.0,1.83,84
516,517,Adama Traoré,Wolves,"FW,MF",0.4,0.25,16.6,0.25,0.95,1.85,83
338,339,John McGinn,Aston Villa,"MF,FW",0.29,0.76,29.9,0.5,0.27,1.82,85
167,168,Fabinho,Liverpool,MF,0.22,0.75,29.7,0.66,0.18,1.81,86
436,437,Marc Roca,Leeds United,MF,0.52,0.58,25.7,0.43,0.28,1.81,87
497,498,Raheem Sterling,Chelsea,"FW,MF",0.29,0.43,21.0,0.13,0.93,1.7800000000000002,89
467,468,Jeffrey Schlupp,Crystal Palace,"MF,FW",0.18,0.69,28.1,0.69,0.23,1.7899999999999998,88
190,191,Idrissa Gana Gueye,Everton,MF,0.04,0.72,28.6,0.93,0.07,1.76,90
18,19,Julián Álvarez,Manchester City,"FW,MF",0.84,0.24,16.3,0.03,0.63,1.74,91
342,343,Scott McTominay,Manchester Utd,MF,0.52,0.08,12.9,0.98,0.15,1.73,92
403,404,Andreas Pereira,Fulham,MF,0.4,0.76,29.9,0.02,0.53,1.71,93
228,229,Son Heung-min,Tottenham,"MF,FW",0.12,0.87,32.1,0.07,0.65,1.71,94
188,189,Cody Gakpo,Liverpool,"FW,MF",0.74,0.23,16.2,0.01,0.72,1.7,95
185,186,Fred,Manchester Utd,MF,0.18,0.12,13.9,0.94,0.46,1.7,96
180,181,Pablo Fornals,West Ham,"FW,MF",0.4,0.27,16.7,0.28,0.72,1.67,97
316,317,Riyad Mahrez,Manchester City,"FW,MF",0.07,0.44,21.3,0.17,0.98,1.66,98
105,106,Lewis Cook,Bournemouth,MF,0.52,0.36,19.1,0.73,0.05,1.66,99
414,415,Daniel Podence,Wolves,"FW,MF",0.4,0.39,19.7,0.05,0.81,1.65,100
215,216,İlkay Gündoğan,Manchester City,MF,0.07,0.61,26.1,0.22,0.71,1.61,101
430,431,Richarlison,Tottenham,"MF,FW",0.52,0.01,11.2,0.35,0.7,1.58,102
498,499,John Stones,Manchester City,"DF,MF",0.22,0.43,20.5,0.67,0.26,1.58,103
320,321,Orel Mangala,Nott'ham Forest,MF,0.64,0.3,17.2,0.61,0.03,1.58,104
380,381,Christian Nørgaard,Brentford,MF,0.22,0.38,19.6,0.91,0.06,1.57,105
225,226,Jordan Henderson,Liverpool,MF,0.04,0.49,23.0,0.39,0.65,1.57,106
522,523,Leandro Trossard,Brighton,"FW,MF",0.29,0.17,14.6,0.18,0.9,1.54,107
187,188,Remo Freuler,Nott'ham Forest,MF,0.12,0.53,24.0,0.86,0.01,1.52,108
237,238,Kelechi Iheanacho,Leicester City,"FW,MF",0.52,0.05,12.5,0.09,0.82,1.48,109
439,440,Rodrigo,Leeds United,"FW,MF",0.07,0.45,21.5,0.31,0.64,1.47,110
13,14,Carlos Alcaraz,Southampton,"MF,FW",0.98,0.03,11.4,0.14,0.31,1.46,111
28,29,Joe Aribo,Southampton,"MF,FW",0.4,0.09,13.6,0.54,0.4,1.4300000000000002,112
12,13,Thiago Alcántara,Liverpool,MF,0.07,0.13,13.9,0.77,0.45,1.4200000000000002,113
96,97,Ryan Christie,Bournemouth,"MF,FW",0.29,0.41,20.4,0.35,0.36,1.4100000000000001,114
281,282,Mateo Kovačić,Chelsea,MF,0.22,0.35,19.0,0.34,0.5,1.41,115
62,63,Yves Bissouma,Tottenham,MF,0.52,0.01,11.2,0.65,0.2,1.3800000000000001,116
162,163,Christian Eriksen,Manchester Utd,MF,0.12,0.46,22.8,0.26,0.54,1.38,117
29,30,Adam Armstrong,Southampton,"FW,MF",0.52,0.17,14.8,0.24,0.41,1.34,118
30,31,Stuart Armstrong,Southampton,"MF,FW",0.12,0.21,15.6,0.2,0.76,1.29,119
362,363,João Moutinho,Wolves,MF,0.01,0.4,19.8,0.52,0.34,1.27,120
293,294,Mario Lemina,Wolves,MF,0.22,0.16,14.4,0.82,0.04,1.24,121
223,224,Hwang Hee-chan,Wolves,"FW,MF",0.4,0.06,12.6,0.3,0.47,1.23,122
144,145,Abdoulaye Doucouré,Everton,MF,0.18,0.28,17.0,0.4,0.33,1.19,123
174,175,Roberto Firmino,Liverpool,"FW,MF",0.12,0.09,13.5,0.1,0.86,1.17,124
257,258,Jorginho,Chelsea,MF,0.12,0.15,14.2,0.53,0.17,0.9700000000000001,125
446,447,Joe Rothwell,Bournemouth,MF,0.29,0.02,11.3,0.38,0.09,0.78,126
534,535,Theo Walcott,Southampton,"FW,MF",0.02,0.06,12.5,0.04,0.37,0.49,127
